Calinski Harabasz, (CH)
Number of cluster: 94,0.00452489
Number of cluster: 95,0.00452489
Number of cluster: 96,0.00452489
Number of cluster: 97,0.004329
Number of cluster: 98,0.004329
Number of cluster: 99,0.00452489
Number of cluster: 100,0.004329
Estimated Number of Clutsers: 90,0.00452489
Davies Bouldin, (DB)
Number of cluster: 2,2.05198
Number of cluster: 3,2.44408
Number of cluster: 4,2.18575
Number of cluster: 5,1.95849
Number of cluster: 6,1.86645
Number of cluster: 7,1.96532
Number of cluster: 8,1.77734
Number of cluster: 9,1.82401
Number of cluster: 10,1.80916
Number of cluster: 11,1.78476
Number of cluster: 12,1.82825
Number of cluster: 13,1.80632
Number of cluster: 14,1.79517
Number of cluster: 15,1.82248
Number of cluster: 16,1.78871
Number of cluster: 17,1.79607
Number of cluster: 18,1.79734
Number of cluster: 19,1.77357
Number of cluster: 20,1.73335
Number of cluster: 21,1.74904
Number of cluster: 22,1.73847
Number of cluster: 23,1.70691
Number of cluster: 24,1.70967
Number of cluster: 25,1.73735
Number of cluster: 26,1.76548
Number of cluster: 27,1.75372
Number of cluster: 28,1.7514
Number of cluster: 29,1.75888
Number of cluster: 30,1.73591
Number of cluster: 31,1.74382
Number of cluster: 32,1.71698
Number of cluster: 33,1.72477
Number of cluster: 34,1.70889
Number of cluster: 35,1.71589
Number of cluster: 36,1.71096
Number of cluster: 37,1.71956
Number of cluster: 38,1.72806
Number of cluster: 39,1.72649
Number of cluster: 40,1.71769
Number of cluster: 41,1.72518
Number of cluster: 42,1.75134
Number of cluster: 43,1.72512
Number of cluster: 44,1.73056
Number of cluster: 45,1.71133
Number of cluster: 46,1.7546
Number of cluster: 47,1.75849
Number of cluster: 48,1.74917
Number of cluster: 49,1.74691
Number of cluster: 50,1.74782
Number of cluster: 51,1.72603
Number of cluster: 52,1.70723
Number of cluster: 53,1.70966
Number of cluster: 54,1.71126
Number of cluster: 55,1.72095
Number of cluster: 56,1.72486
Number of cluster: 57,1.70587
Number of cluster: 58,1.73851
Number of cluster: 59,1.70648
Number of cluster: 60,1.67644
Number of cluster: 61,1.68473
Number of cluster: 62,1.66778
Number of cluster: 63,1.66158
Number of cluster: 64,1.64559
Number of cluster: 65,1.61488
Number of cluster: 66,1.62341
Number of cluster: 67,1.64719
Number of cluster: 68,1.64197
Number of cluster: 69,1.63891
Number of cluster: 70,1.63621
Number of cluster: 71,1.63193
Number of cluster: 72,1.63294
Number of cluster: 73,1.64784
Number of cluster: 74,1.62773
Number of cluster: 75,1.63093
Number of cluster: 76,1.61941
Number of cluster: 77,1.61883
Number of cluster: 78,1.63747
Number of cluster: 79,1.6083
Number of cluster: 80,1.6007
Number of cluster: 81,1.60519
Number of cluster: 82,1.59317
Number of cluster: 83,1.60559
Number of cluster: 84,1.60012
Number of cluster: 85,1.61392
Number of cluster: 86,1.61099
Number of cluster: 87,1.60262
Number of cluster: 88,1.61739
Number of cluster: 89,1.61308
Number of cluster: 90,1.59611
Number of cluster: 91,1.5988
Number of cluster: 92,1.61176
Number of cluster: 93,1.61258
Number of cluster: 94,1.59976
Number of cluster: 95,1.60038
Number of cluster: 96,1.60518
Number of cluster: 97,1.5977
Number of cluster: 98,1.58822
Number of cluster: 99,1.59933
Number of cluster: 100,1.59605
Estimated Number of Clutsers: 98,1.58822
